scene_name,category,count,positions
NEVASPhcrxR,bed,15,"[0.99651, 0.42237, 8.12562]; [-2.75699, 0.39452, 6.47415]; [-2.89552, 0.43619, 8.98342]; [-6.30955, 0.40385, 8.38197]; [-9.76611, 0.36714, 8.4834]; [-10.73779, 0.21248, -4.5903]; [-10.74109, 0.24483, -5.96006]; [-7.88036, 0.20907, -6.57865]; [-6.63793, 0.20351, -6.57661]; [-5.36941, 0.17036, -6.5723]; [-3.0712, 0.83387, -7.01752]; [-10.82355, 0.27707, -9.22328]; [-10.91202, 0.39716, -10.82876]; [-4.0743, 0.41977, -9.23106]; [-3.50436, 0.10896, -12.60355]"
NEVASPhcrxR,plant,0,
NEVASPhcrxR,toilet,1,"[3.72062, 3.29003, -3.31298]"
NEVASPhcrxR,tv_monitor,3,"[-4.25749, 4.85365, 4.98558]; [-7.25093, 4.45668, 2.65613]; [-5.55817, 4.54841, 2.38196]"
NEVASPhcrxR,sofa,0,
qk9eeNeR4vw,chair,17,"[-1.80396, 0.35548, 9.97313]; [0.94978, 0.52653, 3.13912]; [-0.36254, 0.6111, -2.97089]; [0.31096, 0.60786, -3.38663]; [-0.316, 0.62574, -3.7916]; [-0.85264, 0.63454, -3.87009]; [-1.33823, 0.62573, -3.8786]; [-1.84267, 0.61506, -3.35416]; [-1.32087, 0.59976, -2.91616]; [-0.81501, 0.60251, -2.85863]; [1.11799, 0.47193, -2.01366]; [-4.60927, 0.22262, 3.72607]; [-5.8711, 0.63843, 3.19524]; [0.8929, 0.44976, -7.80242]; [-0.63256, 0.41949, -7.89865]; [0.2629, 0.41983, -6.91177]; [-7.12705, 0.40402, -9.00366]"
qk9eeNeR4vw,bed,4,"[-0.52701, 0.75554, 5.45306]; [-5.19878, 0.60046, -8.2665]; [-8.1918, 0.49984, 2.8008]; [-9.31314, 0.47409, -8.06099]"
qk9eeNeR4vw,plant,4,"[-5.91998, 0.40415, -4.91455]; [-4.8857, 1.06665, 1.59017]; [-4.89821, 1.4139, 1.60299]; [-7.94056, 0.97751, -4.05366]"
qk9eeNeR4vw,toilet,2,"[1.05739, 0.45524, 1.97636]; [-9.28857, 0.23763, -3.49049]"
qk9eeNeR4vw,tv_monitor,1,"[-6.42546, 0.96476, 3.68304]"
qk9eeNeR4vw,sofa,1,"[-4.96948, 0.39899, 0.27909]"
6imZUJGRUq4,chair,17,"[-8.34826, -1.0806, -1.21124]; [-3.99356, 0.51565, 6.37139]; [2.3563, 0.44308, 3.09623]; [-2.55788, 0.5188, 6.35964]; [-1.9999, 0.34907, 3.77364]; [-4.29841, 0.49823, 3.36308]; [-8.40678, 0.54985, 5.89797]; [-7.51606, 0.52695, 6.43974]; [-6.97609, 0.6048, 6.40264]; [-6.18488, 0.53672, 5.93417]; [-6.95103, 0.33752, 5.52284]; [-7.67099, 0.7919, 5.3358]; [3.63758, 0.44568, 1.13652]; [-2.82073, -2.26247, 6.1473]; [0.11062, -2.10521, 6.27314]; [-0.45313, -2.10416, 4.08721]; [-3.54591, -2.17323, 5.72749]"
6imZUJGRUq4,bed,3,"[8.25651, 0.59996, -0.39268]; [8.05463, 0.76102, 4.82018]; [7.98266, -2.12505, 5.0265]"
6imZUJGRUq4,plant,0,
6imZUJGRUq4,toilet,2,"[3.43249, 0.36814, 7.33932]; [3.42264, 0.41925, 3.91653]"
6imZUJGRUq4,tv_monitor,3,"[2.67468, 1.19966, 4.43826]; [5.49278, 1.54076, 4.81778]; [4.15706, -1.75933, 7.24668]"
6imZUJGRUq4,sofa,3,"[-1.39188, 0.47667, 4.72205]; [0.06857, 0.39906, 6.49401]; [4.23119, -2.18814, 4.25416]"
3XYAD64HpDr,chair,9,"[5.70194, -2.54656, -1.34902]; [6.20963, -2.54282, -2.09195]; [6.18694, -2.54229, -2.65214]; [5.65726, -2.54002, -3.45559]; [7.65028, -2.83277, -3.17427]; [7.67161, -2.91123, -2.19266]; [6.78452, 0.53964, -3.33642]; [1.1438, 3.21757, -2.75393]; [-0.3877, 3.209, -2.76242]"
3XYAD64HpDr,bed,2,"[-0.15807, 0.69518, -2.48473]; [0.48145, 3.4725, -0.1556]"
3XYAD64HpDr,plant,1,"[8.45527, -2.79092, -4.89023]"
3XYAD64HpDr,toilet,2,"[1.50924, 0.37031, -0.12813]; [7.29342, 3.16464, 0.56634]"
3XYAD64HpDr,tv_monitor,4,"[2.7175, -1.93059, -2.08518]; [1.53038, 1.07899, -0.87486]; [7.50194, 0.98069, -3.28104]; [2.5911, 3.82734, -3.14153]"
3XYAD64HpDr,sofa,1,"[0.20584, -2.58036, -2.37593]"
YMNvYDhK8mB,chair,36,"[0.85597, 0.47655, -2.02973]; [3.17999, 0.64457, 1.2394]; [1.49416, 0.60936, -3.62782]; [1.58023, 0.67744, -6.21439]; [0.90973, 0.62186, -4.42575]; [0.93933, 0.70252, -5.23459]; [1.98723, 0.6265, -4.52222]; [2.03761, 0.6056, -5.23732]; [3.78348, 0.67535, -5.64556]; [6.44327, 0.67044, -5.56744]; [10.28346, 0.46093, -6.00741]; [9.07434, 0.62896, -5.70299]; [5.03223, 0.69819, -1.45117]; [5.11796, 0.64628, -0.17732]; [5.06398, 0.65475, 1.18858]; [7.92239, 0.65204, -0.22731]; [7.8548, 0.6259, -1.57732]; [6.54651, 0.64793, -1.93732]; [6.64802, 0.62483, -0.56453]; [6.63155, 0.63708, 0.77953]; [10.89567, 0.66638, -1.32733]; [10.7708, 0.651, -0.35737]; [9.61673, 0.58599, -1.74596]; [9.59392, 0.60698, -0.43022]; [9.67935, 0.61396, 0.86268]; [16.35868, 0.45487, -4.14366]; [13.80284, 0.47455, -4.09732]; [14.24122, 0.47521, -6.16949]; [19.8216, 0.71265, -3.94058]; [20.82341, 0.72139, -3.95229]; [21.87489, 0.69546, -3.94766]; [19.918, 0.72417, -5.74126]; [20.99169, 0.72748, -5.78101]; [21.87439, 0.73521, -5.67699]; [19.37469, 0.45052, -2.06111]; [22.60881, 0.77941, -0.43064]"
YMNvYDhK8mB,bed,0,
YMNvYDhK8mB,plant,0,
YMNvYDhK8mB,toilet,0,
YMNvYDhK8mB,tv_monitor,7,"[2.19934, 0.96694, 1.09215]; [1.69662, 1.62249, -6.96056]; [8.71419, 1.00333, -4.96909]; [4.70396, 0.96984, 1.38273]; [7.00737, 0.95631, -1.95809]; [18.16725, 1.40983, -4.87461]; [21.66433, 0.98086, 0.06248]"
YMNvYDhK8mB,sofa,0,
j6fHrce9pHR,chair,25,"[1.51265, 0.47714, 4.56176]; [1.06136, 0.48956, 1.31003]; [-3.20851, 0.53922, 0.17472]; [-3.20748, 0.53529, -0.34006]; [-3.21879, 0.54079, -0.87021]; [-3.7404, 0.5432, -1.54023]; [-3.71873, 0.54102, 0.73851]; [-4.20261, 0.54085, 0.10862]; [-4.2071, 0.54157, -0.41524]; [-4.23409, 0.53804, -0.95864]; [-10.80347, 0.34748, -0.53682]; [-16.13356, 0.37463, -2.47889]; [-16.73994, 0.37141, -2.48054]; [-17.58186, 0.3066, -2.51394]; [-18.17273, 0.36819, -2.47753]; [-4.68061, 0.53958, 9.23916]; [-5.284, 0.53643, 8.7927]; [-5.85115, 0.53838, 9.31481]; [-5.22137, 0.53458, 9.86838]; [-11.64783, 0.31723, 9.95037]; [-9.88484, 0.46746, 7.53379]; [-16.35238, 3.59151, 7.8745]; [8.19982, 0.57744, -2.47455]; [10.54054, 0.50837, -2.15041]; [8.10365, 0.49026, 7.90034]"
j6fHrce9pHR,bed,4,"[-9.99359, 0.86713, -2.1663]; [-9.20605, 3.67485, 10.05558]; [2.90496, 0.51881, -0.8421]; [4.19365, 0.74575, 5.86237]"
j6fHrce9pHR,plant,0,
j6fHrce9pHR,toilet,4,"[-5.595, 3.43992, 8.98597]; [7.52045, 0.37574, -1.24302]; [14.00941, 0.36236, 3.87035]; [14.06003, 0.20456, 5.23478]"
j6fHrce9pHR,tv_monitor,3,"[-6.08414, 0.96943, -2.25386]; [-7.59767, 1.23111, 10.3536]; [7.59762, 2.11458, 4.65352]"
j6fHrce9pHR,sofa,0,
gmuS7Wgsbrx,chair,22,"[7.25852, 4.60004, 5.42046]; [3.78812, 4.60838, -10.82892]; [7.09062, 4.73129, -9.39312]; [9.06485, 0.53459, -4.55741]; [9.20477, 0.55295, -4.03225]; [9.11702, 0.53446, -3.53993]; [8.38737, 0.54897, -4.53553]; [8.32815, 0.53525, -3.97756]; [8.37945, 0.53818, -3.45098]; [-0.60572, 0.5692, 4.23086]; [0.53789, 0.56595, 4.33592]; [-0.03025, 0.56324, 2.54882]; [7.81363, 0.47741, 8.80253]; [11.18871, 0.5266, 5.2105]; [14.95621, 0.23774, -3.04767]; [15.02597, 0.23654, -1.87451]; [14.27563, 0.36634, 0.96763]; [13.43857, 0.3846, 1.3613]; [12.89054, 0.37375, 1.47497]; [12.31734, 0.36779, 0.98372]; [13.03079, 0.39394, 0.49194]; [13.64, 0.419, 0.58578]"
gmuS7Wgsbrx,bed,5,"[0.1544, 4.77268, 4.04517]; [6.74847, 4.73334, 3.58977]; [-0.52283, 4.79912, -3.84336]; [0.33673, 4.4829, -10.37627]; [7.76425, 0.82026, 6.17081]"
gmuS7Wgsbrx,plant,0,
gmuS7Wgsbrx,toilet,3,"[3.58016, 4.46218, 4.59584]; [-0.19197, 4.45524, -6.38105]; [2.88453, 0.36406, 5.20361]"
gmuS7Wgsbrx,tv_monitor,4,"[0.21276, 5.54278, -6.90457]; [15.3525, 1.13382, -8.50694]; [0.36699, 1.00408, 3.40079]; [-0.5094, 0.97753, 3.33638]"
gmuS7Wgsbrx,sofa,0,
LcAd9dhvVwh,chair,20,"[6.18837, 0.66975, 9.67568]; [5.59404, 0.46026, 9.68383]; [4.83403, 0.73483, 9.68011]; [6.23853, 0.42346, 6.97703]; [6.57521, 0.42611, 6.2972]; [6.4529, 0.46064, 5.75017]; [5.96511, 0.42475, 6.28402]; [5.96128, 0.46418, 5.7418]; [6.27503, 0.43156, 5.00548]; [2.27518, 0.36036, 1.42063]; [1.00381, 0.36879, 1.46983]; [-5.16604, 0.39272, 4.0791]; [-1.96866, 0.49045, 9.79157]; [-1.99115, 0.557, 10.86812]; [-5.71767, 0.5973, 11.58262]; [5.15292, -2.38431, 3.86426]; [0.72286, -2.16718, -1.00516]; [-0.8657, -2.13613, -0.95986]; [-5.72704, -2.25282, 4.09181]; [-2.04032, -2.31887, 11.47074]"
LcAd9dhvVwh,bed,4,"[-2.64986, 0.55984, 5.46734]; [-7.74412, 0.76661, 10.65938]; [-2.66415, -2.45886, 5.38228]; [-7.69823, -2.03668, 10.1865]"
LcAd9dhvVwh,plant,0,
LcAd9dhvVwh,toilet,4,"[-8.32709, 0.42034, 6.74228]; [-8.38262, 0.40352, 5.74775]; [-8.33152, -2.27014, 6.71636]; [-8.33708, -2.31683, 5.71815]"
LcAd9dhvVwh,tv_monitor,0,
LcAd9dhvVwh,sofa,3,"[0.2317, 0.41977, 3.45161]; [1.44844, -2.28839, 5.04213]; [1.38896, -2.29334, 2.01576]"
HeSYRw7eMtG,chair,10,"[3.51612, 3.81054, -6.46385]; [1.85147, 3.11654, -6.43683]; [-3.39615, 0.73384, -1.69977]; [-4.11654, 0.46601, -3.46087]; [-0.15131, 0.48425, -5.83706]; [0.03442, 0.4093, -4.47879]; [1.90743, 0.50908, -5.77675]; [2.60793, 0.5118, -5.25492]; [3.33551, 0.50952, -5.83547]; [2.49273, 0.5074, -6.414]"
HeSYRw7eMtG,bed,2,"[6.68474, 3.6883, -5.8536]; [-3.6377, 3.73839, -0.93081]"
HeSYRw7eMtG,plant,0,
HeSYRw7eMtG,toilet,4,"[7.48147, 3.36332, -3.02137]; [3.16448, 3.41689, -1.22471]; [7.45453, 0.32338, -2.91375]; [-1.74853, -2.30664, 0.19191]"
HeSYRw7eMtG,tv_monitor,3,"[4.04739, 4.14505, -6.51561]; [-2.23342, 1.22793, -3.04636]; [-1.23457, 4.64731, 0.04711]"
HeSYRw7eMtG,sofa,1,"[-2.08358, 0.45902, -6.39397]"
wsAYBFtQaL7,chair,11,"[4.97211, 0.58052, -2.3052]; [3.00301, 0.57835, -0.87195]; [3.04866, 0.57126, -0.39196]; [3.72039, 0.58683, -0.99859]; [3.67821, 0.5764, -0.50195]; [-1.76386, 0.56673, -3.13583]; [-2.34826, 0.57371, -5.46599]; [-1.99913, 0.40194, 3.13098]; [-12.52027, 0.46878, 2.63305]; [-16.06897, 0.53728, 0.34372]; [-10.34595, 0.70344, 0.93385]"
wsAYBFtQaL7,bed,3,"[-6.44946, 0.39471, -4.58545]; [-13.49722, 0.45623, -4.0787]; [-14.46548, 0.3661, 2.63147]"
wsAYBFtQaL7,plant,0,
wsAYBFtQaL7,toilet,2,"[-18.35342, 0.32284, -0.04009]; [-5.96596, 0.37345, 3.34358]"
wsAYBFtQaL7,tv_monitor,3,"[1.08613, 1.47698, 0.94702]; [-10.82804, 1.58423, -3.58872]; [-13.69244, 1.1801, 0.05222]"
wsAYBFtQaL7,sofa,1,"[-0.05096, 0.45482, -5.2664]"
xgLmjqzoAzF,chair,19,"[22.24825, 0.5917, 2.51157]; [2.08871, 0.40285, 9.30522]; [2.01721, 0.38607, 5.76972]; [1.68273, 0.5082, 3.26789]; [3.76622, 0.57877, 3.28636]; [3.2543, 0.54775, 3.78376]; [2.55758, 0.58305, 3.8134]; [2.64366, 0.62559, 2.87808]; [3.18882, 0.51171, 2.8695]; [-3.33636, 0.45043, 7.08291]; [-0.97645, 0.52516, -3.05599]; [-1.06095, 0.50951, -1.04209]; [-0.45521, 0.5194, -1.7955]; [-0.52899, 0.52236, -2.27165]; [-1.3121, 0.51452, -1.68573]; [-1.31084, 0.51693, -2.20263]; [-10.10897, 0.39278, 3.712]; [-4.90225, -0.09432, 9.41851]; [-4.65007, -0.11156, 9.0512]"
xgLmjqzoAzF,bed,4,"[21.98338, 0.36262, 4.92905]; [-4.58779, 0.5597, -2.68119]; [-8.77229, 0.53901, 2.123]; [-8.91083, 0.52295, 6.8343]"
xgLmjqzoAzF,plant,0,
xgLmjqzoAzF,toilet,3,"[15.57533, 0.38031, 5.81026]; [-3.09174, 0.39974, 3.68817]; [-8.1276, 0.39563, 0.47117]"
xgLmjqzoAzF,tv_monitor,4,"[8.29834, 1.67879, 6.02351]; [4.48021, 1.6535, 7.44146]; [-1.0289, 1.86649, -4.19161]; [-7.42753, 1.01556, -3.50854]"
xgLmjqzoAzF,sofa,2,"[8.31382, 0.48047, 3.14372]; [0.91139, 0.30782, 7.64264]"
CthA7sQNTPK,chair,8,"[-0.1693, 0.42732, -0.18371]; [1.90482, 0.41232, 3.28546]; [3.22468, -2.5686, 4.14071]; [3.25531, -2.57544, 1.99794]; [2.96624, -2.57953, 2.69911]; [3.55003, -2.58466, 2.65415]; [3.46647, -2.76456, 3.37452]; [2.96675, -2.5993, 3.40664]"
CthA7sQNTPK,bed,2,"[6.39693, 3.86462, 2.45144]; [6.73704, 0.65147, 4.15221]"
CthA7sQNTPK,plant,7,"[-0.82068, 3.87735, 5.32582]; [0.56003, 4.91377, 2.35132]; [-0.41671, 0.4786, 0.78343]; [-0.85836, 0.95644, 0.85375]; [7.07834, 0.54655, -0.7158]; [-0.69946, 1.20968, 3.17221]; [1.9357, 0.70382, 4.02867]"
CthA7sQNTPK,toilet,2,"[-0.65463, 3.59259, 3.14722]; [2.83657, 0.50791, 4.21782]"
CthA7sQNTPK,tv_monitor,2,"[5.06355, 4.74457, 5.32352]; [-0.86358, 1.00509, -0.59636]"
CthA7sQNTPK,sofa,1,"[5.32405, -2.70755, 3.29722]"
1UnKg1rAb8A,chair,9,"[2.80481, -2.44143, -1.24927]; [2.18148, -2.44095, -0.98306]; [2.20608, -2.44, -0.54512]; [2.86335, -2.44284, -0.04492]; [5.69417, 0.41598, -3.35572]; [5.71418, 0.41603, -2.74043]; [3.95839, 0.41082, -3.86513]; [3.87639, 0.41142, -4.49927]; [8.6131, 0.54947, -1.27347]"
1UnKg1rAb8A,bed,3,"[0.45578, 0.60084, -4.27414]; [0.46989, 0.81807, 2.18522]; [8.66891, 0.756, 0.40528]"
1UnKg1rAb8A,plant,0,
1UnKg1rAb8A,toilet,3,"[5.00835, -2.50009, -4.42787]; [4.78059, 0.35954, 1.41807]; [4.78335, 0.29599, 2.27528]"
1UnKg1rAb8A,tv_monitor,3,"[2.94418, -1.17558, -4.42928]; [9.36737, 1.12598, -1.44927]; [7.58335, 0.7718, -1.07927]"
1UnKg1rAb8A,sofa,4,"[0.52704, -2.40837, -4.31498]; [2.60044, -2.41317, -4.34211]; [-0.01019, -2.32402, -2.28927]; [-0.11786, 0.42092, -2.90366]"
vDfkYo5VqEQ,chair,4,"[7.98561, -2.67281, 6.02777]; [8.00928, -2.69852, 5.31964]; [1.59456, 0.5173, 2.52333]; [6.47787, 0.42404, 6.72066]"
vDfkYo5VqEQ,bed,2,"[-0.58513, 0.39151, 6.35308]; [8.98557, 0.42743, 5.23624]"
vDfkYo5VqEQ,plant,0,
vDfkYo5VqEQ,toilet,1,"[3.60157, 0.31112, 6.34607]"
vDfkYo5VqEQ,tv_monitor,3,"[9.18385, -1.38158, 0.03922]; [-2.00297, 1.13323, 4.02211]; [-0.53325, 1.5944, 4.58147]"
vDfkYo5VqEQ,sofa,4,"[5.95269, -2.7326, 0.97746]; [7.24406, -2.74935, 2.91426]; [9.27036, -2.76649, 2.68229]; [-2.25782, 0.43659, 1.68303]"
NtnvZSMK3en,chair,9,"[5.62312, 3.23563, -1.38782]; [-2.96959, 3.4795, -5.4427]; [0.20411, 3.51395, -0.67286]; [-3.04544, 0.3637, 1.80648]; [-1.43729, 0.48451, -5.0855]; [-1.14652, 0.41138, -4.62836]; [-1.1029, 0.40848, -4.01836]; [-1.80041, 0.41572, -4.06835]; [-1.79, 0.40397, -4.58837]"
NtnvZSMK3en,bed,4,"[7.06648, 3.22321, -5.93564]; [-0.4373, 3.21466, -5.41391]; [-2.39434, 3.19857, -1.20909]; [3.60804, 0.31922, -0.19327]"
NtnvZSMK3en,plant,1,"[1.07577, 3.69729, -4.05442]"
NtnvZSMK3en,toilet,0,
NtnvZSMK3en,tv_monitor,1,"[-1.19406, 0.86811, -0.00697]"
NtnvZSMK3en,sofa,2,"[3.27545, 3.25593, -4.82225]; [-4.4093, 0.28494, 0.34763]"
yHLr6bvWsVm,chair,9,"[-0.86891, 0.52161, 5.81061]; [-1.24364, 0.52818, 6.24939]; [-0.60469, 0.41308, 6.30342]; [-0.61626, 0.41308, 6.79342]; [-1.1266, 0.54406, 6.88342]; [-0.82839, 0.52232, 7.34793]; [-6.13049, 0.49381, 1.68571]; [-7.89642, 0.24197, 1.63939]; [-7.9794, 0.4929, 0.93342]"
yHLr6bvWsVm,bed,4,"[-7.27374, 0.57208, 7.41342]; [-5.06541, 0.43696, 9.39936]; [-6.68753, 0.47546, 3.63552]; [-6.30305, 0.50273, -0.87226]"
yHLr6bvWsVm,plant,1,"[-5.8806, 1.46701, 5.3145]"
yHLr6bvWsVm,toilet,4,"[-3.52353, 0.36838, -0.8666]; [-3.51714, 0.21079, -0.23606]; [-6.88918, 0.20189, 6.37497]; [-7.57304, 0.42776, 6.37955]"
yHLr6bvWsVm,tv_monitor,1,"[3.50151, 0.78562, 9.44818]"
yHLr6bvWsVm,sofa,0,
CQWES1bawee,chair,22,"[6.99714, -3.01833, 0.88262]; [-0.5462, -2.70319, -2.34986]; [-2.47335, -2.70328, -1.63128]; [-2.43343, -2.70466, -2.09194]; [6.81908, 0.0238, -0.92341]; [3.71302, 0.02446, -1.05835]; [-2.62854, 0.47519, -0.8844]; [-2.18954, 0.47531, -0.48711]; [-1.4612, 0.47463, -0.41765]; [-1.0007, 0.47309, -0.81096]; [-1.50384, 0.4776, -1.10412]; [-2.03495, 0.47479, -1.13567]; [-1.19635, 0.42318, 1.1783]; [-1.95478, 0.41331, 1.19816]; [-2.37477, 0.23619, 1.4966]; [-2.32498, 0.27989, 1.16278]; [-2.74635, 0.41431, 1.20242]; [-2.05113, 2.86642, -2.24603]; [-2.83013, 3.35542, 3.66965]; [5.33247, 3.69628, 1.88807]; [5.09946, 3.26839, 0.74258]; [0.17261, 5.98303, 1.4516]"
CQWES1bawee,bed,4,"[-3.63419, 3.26919, -1.93372]; [-3.18924, 3.25528, 1.70016]; [6.66666, 3.25614, 2.05792]; [6.04122, 3.32093, -1.59777]"
CQWES1bawee,plant,2,"[6.19916, 0.2735, 1.3153]; [5.76222, -0.03804, 1.29119]"
CQWES1bawee,toilet,3,"[1.22983, -2.75477, 1.67348]; [0.76776, 3.13569, -1.05251]; [1.56341, 3.12863, 0.11314]"
CQWES1bawee,tv_monitor,4,"[5.32955, 0.34355, 0.9775]; [-4.24802, 4.19342, 3.66]; [6.03512, 3.48483, 3.85951]; [6.30186, 3.87273, 0.78474]"
CQWES1bawee,sofa,1,"[5.42236, 0.03643, -2.08102]"
QN2dRqwd84J,chair,11,"[7.85447, 0.39746, -4.18571]; [3.61574, 0.40793, -3.88989]; [3.61082, 0.41396, -2.86106]; [0.13218, 0.54912, -4.39539]; [1.08367, 0.56776, -1.11168]; [1.07452, 0.55154, -3.47891]; [0.66517, 0.53531, -1.80398]; [0.67167, 0.5222, -2.60398]; [1.53385, 0.54924, -1.7891]; [1.50882, 0.55338, -2.62517]; [-1.56253, 0.50074, -4.49887]"
QN2dRqwd84J,bed,2,"[10.1809, 0.7404, -3.34451]; [-3.63988, 0.60649, -3.32305]"
QN2dRqwd84J,plant,1,"[3.29547, 0.67483, -6.64061]"
QN2dRqwd84J,toilet,3,"[8.60116, 0.24627, 2.52564]; [5.78378, 0.21921, 1.13703]; [-2.63581, 0.2632, 2.70602]"
QN2dRqwd84J,tv_monitor,1,"[7.48848, 1.73927, -3.17396]"
QN2dRqwd84J,sofa,3,"[6.72245, 0.39286, -3.10915]; [5.10222, 0.40814, -1.36843]; [5.82902, 0.35887, -5.77898]"
g8Xrdbe9fir,chair,1,"[5.00382, 0.44607, 1.80544]"
g8Xrdbe9fir,bed,2,"[-1.94914, 0.47147, 2.26376]; [12.65085, 1.97472, 3.87144]"
g8Xrdbe9fir,plant,0,
g8Xrdbe9fir,toilet,2,"[1.44909, 0.35849, 5.22803]; [10.03637, 2.00605, 6.46311]"
g8Xrdbe9fir,tv_monitor,0,
g8Xrdbe9fir,sofa,2,"[6.83779, 0.46073, 3.7814]; [10.51093, 2.20408, 1.4749]"
E1NrAhMoqvB,chair,30,"[15.79232, 0.32611, 10.03662]; [15.39606, 0.35655, 10.59028]; [11.41359, 0.36575, -0.07338]; [12.36655, 0.38097, -0.14645]; [9.51075, 0.30224, 11.01634]; [3.58488, 0.5002, 0.16472]; [4.99652, 0.46748, 0.24162]; [5.09266, 0.46434, 7.6221]; [2.38515, 0.50326, 8.48662]; [2.38508, 0.50354, 9.05661]; [2.39209, 0.50063, 9.74662]; [0.51457, 0.57471, 9.71156]; [0.52075, 0.56827, 8.16199]; [0.80474, 0.56872, 8.96524]; [0.24592, 0.57749, 8.95661]; [-5.03169, 0.56196, 5.35496]; [-7.43445, 0.53819, 5.0843]; [-8.80337, 0.56579, 3.75409]; [-8.89208, 0.55888, 1.49175]; [-4.50992, 0.48166, 1.76161]; [-4.53865, 0.47794, 3.4873]; [-3.43404, 0.55297, -0.25313]; [-1.80073, 0.45903, -0.30339]; [-5.70927, 0.5525, -0.52072]; [-4.91169, 0.55201, -0.88776]; [-6.65925, 0.53378, -0.96521]; [-4.33342, 0.51119, 7.4586]; [-4.32054, 0.47473, 8.91385]; [-6.55592, 0.52842, 8.18766]; [-5.05509, 0.3455, 10.71196]"
E1NrAhMoqvB,bed,2,"[14.10207, 0.68353, 10.15455]; [14.6896, 1.10478, 1.55597]"
E1NrAhMoqvB,plant,0,
E1NrAhMoqvB,toilet,2,"[7.45575, 0.31903, 2.04661]; [8.07972, 0.35994, 8.3666]"
E1NrAhMoqvB,tv_monitor,1,"[4.94074, 1.00882, -0.34745]"
E1NrAhMoqvB,sofa,3,"[14.07551, 0.42287, 7.72699]; [3.93514, 0.41161, 3.94367]; [-6.08972, 0.48023, 2.72855]"
